Date Published,Publication,Headline,Meta Description,Link
24-07-2025,LAist,Trump signs an executive order to make it easier to remove ...,"... homeless,"" said Jesse Rabinowitz with the National Homelessness Law Center. ""Institutionalizing people with mental illness, including those ...",https://laist.com/news/housing-homelessness/trump-signs-an-executive-order-making-it-easier-to-remove-homeless-people-from-streets
24-07-2025,LAist,Disabled immigrants are being abused and neglected inside ...,"The increase coincided with immigration agents ramping up raids across the L.A. region. “Due to the surging numbers of people at Adelanto, ...",https://laist.com/news/disabled-immigrants-are-being-abused-and-neglected-inside-adelanto-detention-center-report-says
23-07-2025,LAist,Edison pledges payouts for Eaton Fire survivors as lawsuits loom ...,Firefighters extinguish hot spots at a home destroyed by the Eaton fire in Altadena. (. Allen J. Schaben. /. Los Angeles Times via Getty Images. ).,https://laist.com/news/climate-environment/socal-edison-compensation-program-eaton-fire-survivors
24-07-2025,LAist,Best things to do this weekend in LA and SoCal | LAist,"Teams are members of the Southern California Dragon Boat Club and practice year-round. Saturday, July 26, 2 to 7 p.m.. Downtown Long Beach Art + ...",https://laist.com/news/arts-and-entertainment/things-to-do-weekend-los-angeles-southern-california-july-25-27
24-07-2025,LAist,Long Beach sees 37% drop in homicides | LAist,Los Angeles Times via Getty Images. ) Congress has cut federal ... And the city of Los Angeles recently reported a 21% decline in ...,https://laist.com/news/criminal-justice/long-beach-drop-in-homicides-other-cities
24-07-2025,LAist,Cloudy and cool mornings persist in SoCal | LAist,"SoCal is in for another round of patchy fog this morning followed by sunny skies. Overall, it's going to be another relatively cool day. L.A. ...",https://laist.com/news/climate-environment/cloudy-and-cool-mornings-persist-in-socal
22-07-2025,LAist,Is LA still considering a break from the region's homelessness agency?,It’s been four months since the Los Angeles City Council voted to explore pulling city funding from the region’s top homeless services agency and setting up its own method to contract with providers directly.,https://laist.com/news/housing-homelessness/is-la-still-considering-making-a-break-from-the-regions-homelessness-agency
21-07-2025,LAist,LA region's top homelessness official to step down this week,Topline:,https://laist.com/news/housing-homelessness/va-lecia-adams-kellum-lahsa-departure
21-07-2025,LAist,Cash-strapped LA cities ask private donors to help immigrants pay rent following ICE raids,"Recent immigration raids have stripped many Los Angeles families of their primary breadwinner. Other immigrant workers who have not been detained are also losing income as workplaces shut down to avoid becoming the next target for masked, armed federal agents.",https://laist.com/news/housing-homelessness/los-angeles-cash-assistance-immigration-ice-raids-private-donor-rent-relief-funds
18-07-2025,LAist,"LA sues Airbnb, accusing rental platform of price gouging after January fires","The city of Los Angeles filed a lawsuit against Airbnb, alleging the popular rental platform raised prices above legal limits for at least 2,000 — and possibly more than 3,000 — properties after January’s wildfires, the city attorney announced Friday.",https://laist.com/news/housing-homelessness/la-sues-airbnb-accusing-rental-platform-of-price-gouging-after-wildfires
18-07-2025,LAist,Rebuilding after the fires will take years. But insurance for temporary housing will run out first,"Homeowners who lost everything in the January wildfires are still on the hook for their mortgage payments. And in the coming months, some of them could end up paying rent for their temporary housing too.",https://laist.com/news/housing-homelessness/rebuilding-after-the-fires-will-take-years-most-survivors-insurance-for-temporary-housing-will-run-out-before-then
18-07-2025,LAist,LAHSA moved hundreds out of LA city homeless count without informing elected officials,L.A.’s homelessness agency revised the locations of over 400 sheltered people in its 2025 homeless count — moving them out of the city of L.A. — in the days before the public release of the findings this week. The moves were made without informing elected officials who had seen the earlier numbers.,https://laist.com/news/housing-homelessness/lahsa-homeless-count
20-07-2025,AP News,Family of a man crushed at an Atlanta homeless encampment sues the city,"The family of Cornelius Taylor, a homeless man killed when a bulldozer crushed his tent during an encampment sweep, has sued Atlanta.",https://apnews.com/article/atlanta-homeless-camp-death-cornelius-taylor-lawsuit-d52070264525333096cdaf6237d34bf2
23-07-2025,AP News,San Francisco bans homeless people from living in RVs with new parking limit,San Francisco has banned homeless people from living in RVs with a new citywide parking limit of two hours on large vehicles.,https://apnews.com/article/san-francisco-homeless-rv-ban-parking-290eaeb7e6b03e43e866e5b1b914da3b
22-07-2025,AP News,San Francisco to ban homeless people from living in RVs,San Francisco is set to ban homeless people from living in RVs with a new citywide parking limit of two hours on large vehicles.,https://apnews.com/video/san-francisco-to-ban-homeless-people-from-living-in-rvs-08e2d993820b497e8c09a5d72adeed42
22-07-2025,AP News,San Francisco to ban homeless people from living in RVs,San Francisco is set to ban homeless people from living in RVs by adopting strict new parking limits the mayor says are necessary to keep sidewalks clear and prevent trash buildup.,https://apnews.com/video/san-francisco-to-ban-homeless-people-from-living-in-rvs-e5ea85c2e4764cc5b11a865a4a17705f
22-07-2025,AP News,Pentagon withdraws 700 Marines from Los Angeles,The Pentagon has ordered U.S. Marines to leave Los Angeles after more than a month in the city. The 700 Marines were deployed on June 9 during protests against the administration’s immigration policies.,https://apnews.com/article/los-angeles-marines-immigration-protests-3119cb5c59f4a8d9a8937d90b9ae1224
21-07-2025,AP News,Los Angeles faces Washington after Hamby’s 26-point showing,Los Angeles faces the Washington Mystics after Dearica Hamby scored 26 points in the Sparks’ 99-80 victory over the Washington Mystics.,https://apnews.com/article/dearica-hamby-washington-mystics-los-angeles-sparks-shakira-austin-brittney-sykes-132d8d512cd041c68ac44b6aafed8649
25-07-2025,AP News,"How US adults feel about legal abortion 3 years after Roe was overturned, according to AP-NORC poll","A new poll finds that despite dramatic changes in abortion availability, support for abortion rights among U.S. adults is close to where it was just before the Supreme Court overturned Roe v.",https://apnews.com/article/abortion-poll-support-roe-v-wade-5f7b5b95babbce4666d574db3e878c32
23-07-2025,AP News,Woman who killed baby in 1986 sentenced to probation in cold case DNA probe,"A Florida woman has been sentenced to five years of probation for killing her infant son in Greenwich, Connecticut, in 1986.",https://apnews.com/article/baby-death-cold-case-connecticut-mother-sentenced-9c47b4817d82d75a3801891d019d8fe9
22-07-2025,AP News,"In the nation’s poorest Congressional district, federal funding cuts create perfect storm",Nonprofits in the Bronx are facing severe challenges as federal grant cuts disrupt essential services.,https://apnews.com/article/public-funding-cuts-bronx-river-alliance-1743d9860b53ef2b6fed0d896948a7eb
22-07-2025,AP News,Lawsuit challenges restrictions on Head Start for kids in the US illegally,"A coalition of 21 Democratic state attorneys general filed a lawsuit Monday challenging the Trump administration’s restrictions on social services for immigrants in the country illegally, including the federal preschool program Head Start, health clinics and adult education.",https://apnews.com/article/head-start-federal-funding-trump-immigration-934acd1c69ed94992eb491140082bd9c
18-07-2025,AP News,Man who sent Facebook message about committing a 2013 campus sexual assault pleads guilty,An American extradited from France to face charges that he sexually assaulted a fellow Pennsylvania college student in 2013 has pleaded guilty.,https://apnews.com/article/pennsylvania-campus-assault-guilty-plea-b2467188d0390525933698c5218c0634
23-07-2025,AP News,NASCAR will hold first street race on active military base at Naval Base Coronado in 2026,NASCAR will hold a street race on Naval Base Coronado in Southern California next June as a replacement for its downtown Chicago event that ran the last three years.,https://apnews.com/article/nascar-san-diego-naval-base-coronado-531123793ee5bf4b42f6b56e219f3074
21-07-2025,AP News,"Suspect arrested after car crashes into post office and catches fire in San Jose, California","Authorities say a suspect was arrested after a car crashed into a post office in San Jose, California, causing the building to go up in flames.",https://apnews.com/article/san-jose-california-post-office-fire-e18d774d8a2d9f76e8d51471b750c1c7
19-07-2025,AP News,Journalists among at least 13 arrested during immigration-related protest in Cincinnati,Police arrested two journalists and at least 11 others during a protest in Cincinnati over the detainment of an Egyptian immigrant.,https://apnews.com/article/immigration-protest-cincinnati-arrests-hospital-chaplain-8cce0f80673ba54fc48fd660f2e4dc0f
18-07-2025,AP News,Nationwide protests begin against Trump’s immigration crackdown and health care cuts,"Protests and events against President Donald Trump’s controversial policies that include mass deportations and cuts to Medicaid and other safety nets for poor people have started at more than 1,600 locations around the country.",https://apnews.com/article/good-trouble-john-lewis-where-protests-trump-9f6075dd84f5ae451736c3e66303ceef
NA,DowntownLA,DTLA Alliance Launches New Safe & Clean App | Downtown LA,"services to support the unhoused community Requests, other than for a safety escort, can be made",https://downtownla.com/article/dtla-safe-and-clean-app
NA,DowntownLA,safe-app | Downtown LA,"Homeless outreach services to support the unhoused community Requests, other than for a safety escort, can",https://downtownla.com/safe-app
NA,DowntownLA,Renaissance Center | Downtown LA,216 apartments reserved for extremely low-income households and unhoused individuals. Renderings,https://downtownla.com/building/renaissance-center
NA,DowntownLA,The Umeya | Downtown LA,"also serve as permanent supportive housing, offering wraparound services to formerly unhoused residents",https://downtownla.com/building/the-umeya
NA,DowntownLA,How You Can Help | LA Wildfire Community Resources | Resources | Downtown LA,with tools and supplies. Donate here. SUPPORTING THE UNHOUSED COMMUNITY People Assisting the Homeless,https://downtownla.com/resources/la-fire-community-resources/how-you-can-help
NA,DowntownLA,Los Angeles Mission | Downtown LA,"diverse needs of those experiencing homelessness in Los Angeles by providing housing, meals, emergency",https://downtownla.com/go/los-angeles-mission
NA,DowntownLA,Dewey Hotel | Downtown LA,"homelessness, prolonged extreme poverty, poor health, disabilities, mental illness and/or addiction. visit",https://downtownla.com/building/dewey-hotel
NA,DowntownLA,Weingart Tower 1B | Downtown LA,1 one-bedroom management unit. TARGET POPULATION People experiencing homelessness. visit website,https://downtownla.com/building/weingart-tower-1b
NA,DowntownLA,Downtown Women's Center | Downtown LA,homelessness in Skid Row. Building Information Status: Completed (Pre-99) Date Opened: 1989 LEED Certification,https://downtownla.com/building/downtown-women-s-center
NA,DowntownLA,Star Apartments | Downtown LA,"so that people who have experienced homelessness, prolonged extreme poverty, poor health",https://downtownla.com/building/star-apartments
NA,DowntownLA,District Outreach | DTLA Alliance | Downtown LA,experiencing homelessness and creating employment opportunities within the District.   Chrysalis Chrysalis is a,https://downtownla.com/dtla-alliance/safe-and-clean/district-outreach
NA,DowntownLA,Skid Row Coffee | Downtown LA,training program. 100% of our proceeds go toward helping people experiencing homelessness transition back,https://downtownla.com/go/skid-row-coffee
NA,DowntownLA,The Summer Sampler | Downtown LA,purchased supports our neighbors experiencing homelessness and those affected by the Eaton Fire. YOU CAN,https://downtownla.com/do/the-summer-sampler
NA,DowntownLA,Charity & Volunteer | Live | Downtown LA,"people experiencing homelessness through recovery services, counseling, education, training, workforce",https://downtownla.com/live/community-resources/charity-and-volunteer
NA,DowntownLA,Just Help 1 Benefit Concert | Downtown LA,"homelessness. Join us on May 14 at the Peacock Theater for an unforgettable night of music, hope, and purpose",https://downtownla.com/do/just-help-1-benefit-concert
NA,DowntownLA,Welcome to Downtown LA | Visit DTLA | DTLA Alliance,"the history of Los Angeles as a city began right here, in what is currently Downtown LA. In 1781, 44",https://downtownla.com/
NA,DowntownLA,"DTLA Summer Camp | Wednesdays, July 16 - July 30 | Downtown Los Angeles",Camp Omni Los Angeles | Downtown LA | DTLA Alliance Sponsor Logo Grand Central Market | Downtown LA,https://downtownla.com/dtla-summer-camp
NA,DowntownLA,Arketa Los Angeles | Downtown LA,"Historic Downtown Arketa Los Angeles A fashion concept store and showroom featuring edgy, avant",https://downtownla.com/go/arketa-los-angeles
NA,DowntownLA,Freehand Los Angeles | Downtown LA,"our hotel in downtown Los Angeles is truly one-of-a-kind, featuring suites, premium hotel rooms and",https://downtownla.com/go/freehand-los-angeles
NA,DowntownLA,Conrad Los Angeles | Downtown LA,"Los Angeles channels the bold originality, creative innovation and dynamic energy that fuels Downtown",https://downtownla.com/go/conrad-los-angeles
NA,DowntownLA,Los Angeles Mission | Downtown LA,"Central City East Los Angeles Mission Since 1936, the Los Angeles Mission has responded to the",https://downtownla.com/go/los-angeles-mission
NA,DowntownLA,Los Angeles Theatre | Downtown LA,"Historic Downtown Los Angeles Theatre ""The most lavish and last built of Broadway’s great movie",https://downtownla.com/building/los-angeles-theatre
NA,DowntownLA,Los Angeles Times | Downtown LA,Civic Center Los Angeles Times Onni Time Square is a renowned assemblage of iconic office buildings,https://downtownla.com/building/los-angeles-times
NA,DowntownLA,Los Angeles Mall | Downtown LA,Civic Center Los Angeles Mall Several works located on the plaza: Let There Always be Sky by,https://downtownla.com/building/los-angeles-mall
NA,DowntownLA,Alina Los Angeles | Downtown LA,"South Park Alina Los Angeles A mixed-use project that will feature 341 apartments, roughly 11,000",https://downtownla.com/building/alina-los-angeles
17-07-2025,Reuters,US citizen says he was jailed for three days after California immigration raid,"Jumpstart your morning with the latest legal news delivered straight to your inbox from The Daily Docket newsletter. Sign up here. Reporting by Daniel Trotta in Carlsbad, California, and Jorge Garica in Los Angeles; Editing by Christian Schmollinger Our Standards: The Thomson Reuters Trust Principles.
, opens new tab Thomson Reuters Daniel Trotta is a U.S. National Affairs correspondent, covering race, guns, LGBTQ+ issues, immigration, homelessness and breaking news in the 50 states. Previously based in New York and now in California, Trotta was awarded the NLGJA award for excellence in transgender coverage. He was previously posted in Cuba, Spain, Mexico and Nicaragua, covering top world stories including the normalization of Cuban-U.S. relations and the Madrid train bombing by Islamist radicals.",https://www.reuters.com/legal/government/us-citizen-says-he-was-jailed-three-days-after-california-immigration-raid-2025-07-17/
"July 19, 2025",LAtimes,Family of a man crushed at an Atlanta homeless encampment sues the city,"The family of Cornelius Taylor, a homeless man killed when a bulldozer crushed his tent during an encampment sweep, has sued Atlanta",https://www.latimes.com/world-nation/story/2025-07-19/family-of-a-man-crushed-at-an-atlanta-homeless-encampment-sues-the-city
"July 18, 2025",LAtimes,"Where artists tippled, an ode to Cole’s French dip: L.A. arts and culture this weekend","L.A. will miss Cole’s French Dip, frequented by decades of artists, musicians and writers, including Charles Bukowski; plus, “Kill Bill: The Whole Bloody Affair” at the Vista, and George Strait at Sofi Stadium.",https://www.latimes.com/entertainment-arts/newsletter/2025-07-18/essential-arts-coles-french-dip-closing-charles-bukowski-cedd-moses
"July 18, 2025",LAtimes,Immigration raids have invaded not just L.A. but also its psyche,"Your morning catch up: Why the ICE raids feel so invasive, Walt Disney is now an animatronic and more big stories.",https://www.latimes.com/california/newsletter/2025-07-18/immigration-raids-have-invaded-not-just-l-a-but-its-psyche
"July 22, 2025",LAtimes,Los Angeles Homeless Services Authority to name a new chief executive,Commissioners for the Los Angeles Homeless Services Authority are set to appoint a career attorney in the Los Angeles city attorney’s office to lead the agency for the next year as it adjusts to the loss of more than $300 million in county funding.,https://www.latimes.com/california/story/2025-07-22/the-los-angeles-homeless-services-authority-to-name-a-new-chief-executive
"July 22, 2025",LAtimes,ICE raids put a chill on L.A. high school football: ‘I’ve never experienced anything like this’,"Football players at Contreras, Roybal and Belmont high schools in L.A. have missed summer practices over fears fueled by immigration raids.",https://www.latimes.com/sports/highschool/story/2025-07-22/high-school-football-impacted-los-angeles-ice-raids
"July 21, 2025",LAtimes,California sues Trump for blocking undocumented immigrants from ‘public benefit’ programs,The Trump administration barred undocumented immigrants from Head Start and other federal benefit programs — a move California Atty. Gen. Rob Bonta called ‘cruel.’,https://www.latimes.com/politics/story/2025-07-21/california-sues-trump-for-blocking-undocumented-immigrants-from-head-start-other-programs
"July 21, 2025",LAtimes,A message from a summer of ICE: Los Angeles isn’t afraid anymore,"Your morning catch-up: a clear message from our summer of ICE, L.A. County’s health system is in crisis, and more big stories.",https://www.latimes.com/california/newsletter/2025-07-21/immigration-and-fear-in-los-angeles
"July 20, 2025",LAtimes,A tech entrepreneur vows to make homeless housing affordable and profitable,Tech entrepreneur Adam Miller believes that affordable housing development can be profitable and has created a $300 million investment fund to prove it.,https://www.latimes.com/california/story/2025-07-20/a-tech-billionaire-vows-make-homeless-housing-affordable-and-profitable
"July 21, 2025",LAtimes,"After six months under Trump, California and L.A. are battlegrounds. Who benefits?","The Trump administration has repeatedly centered its policy battles in California, including on immigration and transgender rights, gun permitting rules, environmental regulations and agricultural policies.",https://www.latimes.com/politics/story/2025-07-20/six-months-into-trumps-second-term-california-is-a-key-battleground
"July 19, 2025",LAtimes,Family of a man crushed at an Atlanta homeless encampment sues the city,"The family of Cornelius Taylor, a homeless man killed when a bulldozer crushed his tent during an encampment sweep, has sued Atlanta",https://www.latimes.com/world-nation/story/2025-07-19/family-of-a-man-crushed-at-an-atlanta-homeless-encampment-sues-the-city
"July 19, 2025",LAtimes,It’s a bureaucratic whodunit: Who killed Measure J?,It was supposed to be L.A. County’s landmark criminal justice reform. Who scrapped it?,https://www.latimes.com/california/newsletter/2025-07-19/measurej-measureg-repeal
"July 20, 2025",LAtimes,Housing activist who ‘reclaimed’ state-owned home dies amid eviction protest,"Benito Flores, 70, was found dead Friday in the backyard of his state-owned home. Supporters say he fell from a tree house he was using to protest his eviction.",https://www.latimes.com/homeless-housing/story/2025-07-19/housing-activist-who-reclaimed-state-owned-home-dies-amid-eviction-protest
"July 18, 2025",LAtimes,Tech expert who helped cops investigate a missing Bass Lake man has been charged in his murder,An IT expert who helped cops investigate a missing Bass Lake man is now accused in the man’s murder. The body was found in a desert cave.,https://www.latimes.com/california/story/2025-07-18/tech-expert-who-helped-cops-investigate-a-missing-bass-lake-man-has-been-arrested-in-his-murder
2 hours ago,LAtimes,Bullpen sinks slumping Dodgers again in loss to Twins,"Walks and a terrible fielding effort help the Twins defeat the Dodgers, who are now 1-4 since the All-Star break.",https://www.latimes.com/sports/dodgers/story/2025-07-22/dodgers-twins-tuesday
"July 22, 2025",LAtimes,SpaceX launch is delayed after widespread power outage scrubs mission with 45 seconds to spare,"The power outage in the Santa Barbara region disrupted telecommunications at the Los Angeles Air Route Traffic Control Center, creating a “no-go condition for launch,” NASA said.",https://www.latimes.com/california/story/2025-07-22/santa-barbara-spacex-launch-postponed-after-outage
"July 22, 2025",LAtimes,Angels blow lead against Mets again and lose,Francisco Alvarez hit a tying homer in his second game back from the minors and the Mets rallied to beat the Angels.,https://www.latimes.com/sports/angels/story/2025-07-22/angels-mets-tuesday
"July 22, 2025",LAtimes,Sparks rally in fourth quarter to beat the Mystics,Dearica Hamby has a game-high 24 points and a game-high 14 rebounds while Rickea Jackson scores 22 to lead Sparks to third consecutive win.,https://www.latimes.com/sports/sparks/story/2025-07-22/los-angeles-sparks-washington-mystics-tuesday-wnba-game-recap
1 minute ago,LAtimes,"Dodgers put Tanner Scott on IL, but hopeful he returns this season","Tanner Scott was put on the injured list with elbow inflammation, preserving hope that his season might not be over.",https://www.latimes.com/sports/dodgers/story/2025-07-22/tanner-scott-dodgers
"July 22, 2025",LAtimes,The Tesla Diner is officially open ‘from now until forever.’ What we learned on Day 1,"Guests can charge their Teslas while getting ‘epic bacon’ and tuna melts carhopped to their vehicles, and other unique quirks we learned at the opening of Elon Musk’s new Tesla Diner in Hollywood.",https://www.latimes.com/food/story/2025-07-22/tesla-diner-hollywood-elon-musk-superchargers-menu
"July 22, 2025",LAtimes,How Ozzy Osbourne became TV’s most authentic dad on ‘The Osbournes’,"When ‘The Osbournes’ premiered in 2002, we saw a different kind of TV family with a patriarch who wasn’t afraid to curse, shout and strip away his rock star persona for millions of viewers.",https://www.latimes.com/entertainment-arts/tv/story/2025-07-22/ozzy-osbourne-the-osbournes
"July 22, 2025",LAtimes,Driver in East Hollywood nightclub crash charged with 37 counts of attempted murder,"Fernando Ramirez, who allegedly slammed his car into a crowd outside Vermont Hollywood nightclub after he was kicked out early Saturday morning, now faces 37 counts of attempted murder.",https://www.latimes.com/california/story/2025-07-22/driver-in-east-hollywood-club-car-wreck-charged
"July 22, 2025",LAtimes,Hidden 3-D museum in Echo Park,N/A,https://www.latimes.com/00000198-3422-d070-a3bf-3f2e08030000-123
"July 22, 2025",LAtimes,USOPC officials bar transgender women from competing in Olympic women’s sports,"The U.S. Olympic and Paralympic Committee has barred transgender women from competing in women’s sports, complying with President Trump’s executive order.",https://www.latimes.com/sports/olympics/story/2025-07-22/usopc-officials-bar-transgender-women-competing-olympic-sports
